,service,flag,src_bytes,dst_bytes,count,serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,label
14229,49,5,0,0,45,1,0.22,0.09,20,0.08,0.08,1,1
23006,20,9,246,0,1,0,1,0,46,1,0,0,1
14437,14,9,8,0,1,0,1,0,37,1,0,0,1
46351,26,5,0,0,42,1,0.12,0.12,5,0.02,0.08,1,1
13506,16,5,0,0,142,1,0.1,0.06,14,0.05,0.05,1,1
47065,29,5,0,0,233,1,0.02,0.06,4,0.02,0.07,1,1
17917,59,5,0,0,294,1,0,0.06,1,0,0.09,1,1
47452,49,5,0,0,201,1,0,0.06,14,0.05,0.06,1,1
19660,38,1,0,0,233,0,0.04,0.06,9,0.04,0.06,0,1
29824,54,9,250695,328,1,0,1,0,173,0.95,0.02,0,0
26687,24,9,398,6126,3,0,1,0,255,1,0,0,0
30879,49,1,0,0,68,0.01,0.01,1,1,0,0.29,0,1
49753,24,9,299,2112,13,0,1,0,255,1,0,0,0
38461,60,9,110,2182,1,0,1,0,2,0.01,0.03,0.01,0
42893,24,9,237,56533,2,0,1,0,255,1,0,0,0
30725,54,9,874,330,1,0,1,0,164,0.63,0.02,0,0
45135,12,9,45,45,231,0,1,0,255,1,0,0,0
14963,44,9,59,0,22,0.05,0.05,0.77,1,0,0.07,0,0
12733,24,9,213,775,4,0,1,0,255,1,0,0,0
15583,46,5,0,0,223,1,0.09,0.06,1,0,0.07,1,1
22212,24,9,227,1047,7,0,1,0,255,1,0,0,0
47784,24,9,210,481,4,0,1,0,255,1,0,0,0
39720,24,9,231,31220,1,0,1,0,255,1,0,0,0
31531,24,9,241,2051,7,0,1,0,35,1,0,0,0
43799,23,5,0,0,280,1,0.02,0.06,20,0.08,0.07,1,1
31543,24,9,197,2531,5,0,1,0,159,1,0,0.01,0
16510,24,9,206,891,6,0,1,0,255,1,0,0,0
24405,12,9,46,117,7,0,0.86,0.29,248,0.97,0.01,0,0
24053,54,9,1103,336,1,0,1,0,82,0.39,0.03,0,0
24841,21,5,0,0,231,1,0.06,0.06,13,0.05,0.07,1,1
44900,44,4,1,0,2,0,1,0,2,0.01,0.68,0,1
22410,54,9,601,286,1,0,1,0,64,0.25,0.02,0,0
2372,24,9,315,663,39,0,1,0,255,1,0,0,0
18333,24,9,362,936,16,0,1,0,255,1,0,0,0
31641,49,5,0,0,189,1,0.01,0.06,2,0.01,0.05,1,1
9,49,5,0,0,133,1,0.06,0.06,13,0.05,0.06,1,1
2347,18,9,12,226,1,0,1,0,10,0.05,0.03,0,0
4459,49,5,0,0,261,1,0.07,0.06,7,0.03,0.06,1,1
45409,12,9,45,75,190,0,1,0,254,1,0.01,0,0
7455,44,9,147,0,2,0,0.5,1,1,0,0.69,0,0
38808,60,5,0,0,80,0.98,0.25,0.08,45,0.18,0.04,1,1
34701,24,9,327,6827,10,0,1,0,255,1,0,0,0
12544,12,9,43,128,157,0,1,0,255,1,0,0,0
37443,54,9,835,327,1,0,1,0,143,0.47,0.03,0,0
17739,20,5,0,0,241,1,0.01,0.07,3,0.01,0.07,1,1
14037,12,9,94,53,4,0,1,0,24,0.67,0.08,0,0
2360,24,9,206,867,1,0,1,0,255,1,0,0,0
883,49,1,0,0,66,0,0.02,0.09,16,0.06,0.06,0,1
6465,26,5,0,0,114,1,0.18,0.05,14,0.05,0.07,1,1
28550,24,9,215,2596,27,0,1,0,255,1,0,0,0
24410,24,9,338,11868,8,0,1,0,255,1,0,0,0
23132,64,9,36,0,1,0,1,0,23,0.22,0.07,0,0
439,24,9,314,4137,7,0,1,0,255,1,0,0,0
24309,12,9,37,97,1,0,1,0,26,0.62,0.07,0,0
36244,49,1,0,0,164,0,0.06,0.07,10,0.04,0.07,0,1
49929,44,9,145,105,1,0,1,0,2,0.01,0.47,0,0
34966,44,5,0,0,511,0.12,0,1,1,0,1,0.09,1
41184,24,9,330,295,7,0,1,0,255,1,0,0,0
10540,24,9,334,10383,1,0,1,0,255,1,0,0,0
13537,24,9,285,32099,11,0,1,0,255,1,0,0,0
5780,12,9,45,120,261,0,1,0,218,0.85,0.01,0,0
4041,26,5,0,0,149,1,0.11,0.05,16,0.06,0.06,1,1
16158,24,9,226,7303,2,0,1,0,2,1,0,0,0
39098,20,9,879,0,8,0,1,0,84,0.38,0.07,0,0
45864,28,5,0,0,148,1,0.1,0.05,3,0.01,0.08,1,1
27775,49,5,0,0,108,1,0.06,0.07,14,0.05,0.07,1,1
37160,24,9,219,3313,7,0,1,0,255,1,0,0,0
46801,24,9,189,11512,1,0,1,0,245,0.96,0.01,0,0
47154,24,9,331,337,18,0,1,0,255,1,0,0,0
45543,20,9,276,0,1,0,1,0,77,0.28,0.16,0,0
9754,24,9,298,12884,3,0,1,0,146,1,0,0,0
3118,49,1,0,0,1,0,1,0,2,0.01,1,0,1
17105,49,9,1,0,45,0,0.2,0.09,59,0.23,0.2,0,1
47424,12,9,46,126,174,0,1,0,255,1,0,0,0
27274,24,9,341,1541,14,0,1,0,255,1,0,0,0
8422,5,5,0,0,270,1,0.05,0.06,13,0.05,0.07,1,1
32255,24,9,209,741,31,0,1,0,255,1,0,0,0
13854,24,5,0,0,7,0.71,0.71,0.43,46,0.18,0.04,1,1
19066,14,9,18,0,1,0,1,0,184,1,0,0,1
36160,60,9,275,8819,1,0,1,0,54,0.21,0.02,0.52,0
20472,15,9,1032,0,509,0,1,0,178,0.7,0.16,0,1
36995,39,1,0,0,196,0,0.01,0.08,1,0,0.08,0,1
29026,49,1,0,0,16,0,0.06,1,1,0.01,0.22,0,1
23847,49,5,0,0,128,1,0.06,0.06,17,0.07,0.06,1,1
11860,12,9,44,72,140,0,1,0,255,1,0,0,0
10718,24,9,291,454,5,0,1,0,255,1,0,0,0
19696,24,9,346,357,16,0,1,0,255,1,0,0,0
4927,15,9,520,0,441,0,1,0,183,1,0,0,1
49311,49,9,1,0,16,0,0.31,0.31,5,0.02,0.69,0,1
45049,24,9,147,17087,1,0,1,0,255,1,0,0,0
39317,18,5,0,0,39,0.97,0.26,0.13,45,0.18,0.05,1,1
41014,24,9,291,406,4,0,1,0,219,1,0,0,0
33615,24,9,228,429,1,0,1,0,255,1,0,0,0
7461,24,9,358,256,7,0,1,0,255,1,0,0,0
35653,49,10,0,0,1,1,1,0,1,0.01,0.94,0.95,1
46381,44,9,146,105,2,0,1,0,2,0.01,0.62,0,0
22804,54,9,1101,331,1,0,1,0,149,0.57,0.04,0,0
40910,49,5,0,0,10,1,0.1,0.5,12,0.05,0.08,1,1
14748,24,9,394,5643,3,0,1,0,255,1,0,0,0
5883,24,9,269,1283,1,0,1,0,237,0.93,0.01,0,0
28052,12,9,42,42,2,0,1,0,245,0.96,0.01,0,0
26608,20,9,383,0,2,0,1,0,81,0.34,0.04,0,0
6110,24,5,0,0,2,0.5,1,0,255,1,0,0.05,0
38975,14,9,8,0,1,0,1,0,116,1,0,0,1
29518,54,9,771,362,1,0,1,0,104,0.78,0.03,0,0
17204,16,1,0,0,80,0,0.15,0.06,12,0.05,0.06,0,1
12565,20,9,641,0,2,0,1,0,118,0.46,0.04,0,0
30082,24,1,0,0,147,0,0.12,0.05,1,0,0.07,0,1
30529,30,5,0,0,138,1,0.02,0.06,2,0.01,0.06,1,1
35130,24,1,0,0,1,0,1,0,255,1,0,0,0
33378,20,7,7422,0,17,0.06,0.47,0.59,84,0.34,0.32,0.02,0
25322,12,9,42,108,1,0,1,0,41,0.75,0.25,0,0
6401,49,5,0,0,182,1,0.03,0.08,5,0.02,0.08,1,1
33469,49,5,0,0,263,1,0.03,0.06,7,0.03,0.08,1,1
31001,14,9,8,0,1,0,1,0,43,1,0,0,1
37851,49,1,0,0,120,0,0.11,0.08,13,0.09,0.08,0,1
12414,54,9,715,364,1,0,1,0,66,0.65,0.03,0,0
6258,24,9,377,12591,5,0,1,0,255,1,0,0,0
22540,24,9,296,449,2,0,1,0,56,1,0,0,0
3106,54,9,976,339,1,0,1,0,177,0.71,0.02,0,0
42922,54,9,129,243,1,0,1,0,93,0.31,0.58,0,0
28932,49,5,0,0,165,1,0.01,0.07,2,0.01,0.06,1,1
49630,49,5,0,0,137,1,0.18,0.06,24,0.09,0.06,1,1
18535,24,9,373,7329,5,0.2,1,0,255,1,0,0.01,0
27246,44,9,145,105,1,0,1,0,1,0,0.79,0,0
22897,49,5,0,0,133,1,0.09,0.06,13,0.05,0.07,1,1
30324,65,9,78,0,8,0,0.25,0.25,24,0.09,0.01,0,0
41224,20,5,0,0,279,1,0.07,0.06,20,0.08,0.06,1,1
15231,54,9,988,333,1,0,1,0,140,0.4,0.06,0.02,0
19271,24,9,275,833,4,0,1,0,255,1,0,0,0
36140,11,5,0,0,290,1,0.07,0.06,12,0.05,0.08,1,1
17306,24,9,205,3303,10,0,1,0,255,1,0,0.02,0
44642,21,5,0,0,247,1,0.03,0.06,8,0.03,0.08,1,1
30985,24,9,218,1162,4,0,1,0,255,1,0,0,0
6872,54,9,904,328,1,0,1,0,161,0.62,0.17,0,0
33303,24,9,154,541,3,0,1,0,255,1,0,0,0
9971,24,9,193,751,4,0,1,0,255,1,0,0,0
15529,24,9,284,1444,18,0,1,0,172,1,0,0,0
27982,10,5,0,0,245,1,0.01,0.07,18,0.07,0.07,1,1
709,49,1,0,0,81,0.09,0.01,1,1,0,0.59,0.03,1
30516,9,4,0,0,1,0,1,0,1,0,0.07,0,1
31400,60,5,0,0,72,1,0.28,0.06,41,0.16,0.04,1,1
44141,20,9,383,0,1,0,1,0,13,0.17,0.05,0,0
27588,24,1,0,0,1,0,1,0,255,1,0,0,0
12676,49,4,0,0,1,0,1,0,1,0,0.33,0,1
44404,24,9,290,383,3,0,1,0,255,1,0,0,0
15438,24,5,0,0,2,0.5,1,0,255,1,0,0.2,0
15454,18,9,5,0,34,0,0.03,0.06,5,0.01,0.06,0,1
38456,14,9,8,0,1,0,1,0,74,1,0,0,1
8286,24,9,330,837,16,0,1,0,255,1,0,0,0
37440,49,5,0,0,107,1,0.07,0.06,16,0.06,0.07,1,1
43235,24,9,223,10378,13,0,1,0,255,1,0,0,0
9099,24,9,200,421,19,0,1,0,255,1,0,0,0
42698,42,5,0,0,21,1,0.43,0.24,9,0.04,0.08,1,1
46884,20,1,0,0,223,0,0.05,0.07,12,0.05,0.07,0,1
12318,20,9,334,0,2,0,1,0,4,1,0,0,1
30252,13,5,0,0,170,1,0.01,0.06,1,0,0.07,1,1
18962,24,9,216,1418,5,0,1,0,255,1,0,0,0
21542,18,9,8,138,1,0,1,0,13,0.05,0.02,0,0
5032,49,1,0,0,278,0,0.06,0.06,16,0.06,0.06,0,1
4751,60,9,85,1736,1,0,1,0,51,0.2,0.02,0.55,0
40639,9,5,0,0,274,1,0.01,0.05,17,0.07,0.06,1,1
35288,24,9,302,1748,1,0,1,0,255,1,0,0,0
49038,49,5,0,0,204,1,0.05,0.06,11,0.04,0.05,1,1
31816,19,9,1069,3081,1,0,1,0,50,0.2,0.03,0.01,0
39481,24,9,234,5170,5,0,1,0,255,1,0,0,0
45654,49,5,0,0,117,1,0.04,0.08,16,0.06,0.07,1,1
31667,63,7,0,0,2,1,1,0,15,1,0,0.13,0
12246,24,9,193,649,5,0,1,0,243,1,0,0,0
32409,14,9,8,0,1,0,1,0,23,1,0,0,1
5675,49,5,0,0,64,1,0.05,0.09,23,0.09,0.05,1,1
21844,15,9,1032,0,511,0,1,0,156,0.61,0.01,0,1
10203,24,9,352,772,14,0,1,0,255,1,0,0,0
37509,49,5,0,0,114,1,0.04,0.06,14,0.05,0.07,1,1
47725,37,1,0,0,230,0,0.04,0.07,10,0.04,0.07,0,1
18866,10,5,0,0,268,1,0.03,0.06,9,0.04,0.07,1,1
28752,14,9,8,0,1,0,1,0,98,1,0,0,1
7658,7,5,0,0,236,1,0.01,0.07,3,0.01,0.08,1,1
5552,24,9,331,924,6,0,1,0,255,1,0,0,0
7446,24,9,164,430,1,0,1,0,255,1,0,0,0
20169,24,9,227,406,13,0,1,0,255,1,0,0,0
25756,24,9,345,855,26,0,1,0,255,1,0,0,0
39879,24,9,279,5972,10,0,1,0,255,1,0,0,0
11709,6,5,0,0,110,1,0.02,0.07,2,0.01,0.07,1,1
7982,49,1,0,0,21,0,0.05,1,1,0.01,0.25,0,1
45526,44,4,1,0,2,0,1,0,2,0.01,0.74,0,1
5088,40,5,0,0,287,1,0.07,0.05,21,0.08,0.05,1,1
6009,49,5,0,0,116,1,0.17,0.08,20,0.08,0.07,1,1
32228,12,9,44,132,149,0,1,0,255,1,0,0,0
43981,24,9,214,2540,15,0,1,0,255,1,0,0,0
38503,49,5,0,0,133,1,0.14,0.05,20,0.08,0.06,1,1
41583,49,5,0,0,75,1,0.12,0.09,9,0.04,0.06,1,1
18815,20,9,852,0,17,0,1,0,111,0.44,0.02,0,0
10636,24,9,323,1928,3,0,1,0,255,1,0,0,0
45925,65,9,552,0,1,0,1,0,1,0,0.02,0,0
4499,16,5,0,0,135,1,0.15,0.05,20,0.08,0.06,1,1
4138,24,9,285,5790,20,0,1,0,255,1,0,0,0
7661,24,9,237,1483,8,0,1,0,255,1,0,0,0
32303,24,9,144,584,1,0,1,0,255,1,0,0.05,0
4791,12,9,43,83,182,0,0.99,0.01,241,0.95,0.01,0,0
46266,49,1,0,0,1,0,1,0,1,0,0.49,0.1,1
1088,49,5,0,0,279,1,0.08,0.05,23,0.09,0.05,1,1
11702,49,5,0,0,253,1,0.02,0.06,19,0.07,0.07,1,1
33773,24,9,220,5839,11,0,1,0,255,1,0,0,0
25077,23,5,0,0,130,1,0.05,0.07,5,0.02,0.06,1,1
25032,49,5,0,0,130,1,0.04,0.06,16,0.06,0.07,1,1
13950,20,9,5319,0,17,0,1,0,53,0.28,0.02,0,0
28257,24,9,226,9283,7,0,1,0,255,1,0,0,0
31510,60,9,746,537176,1,0,1,0,25,0.15,0.03,0,0
46865,54,9,1095,327,1,0,1,0,90,0.51,0.05,0,0
34941,11,5,0,0,284,1,0.04,0.05,12,0.05,0.05,1,1
12078,24,9,54540,8314,4,0,1,0,255,1,0,0.01,1
6941,49,9,1,0,13,0,0.15,0.15,29,0.11,0.51,0.03,1
44380,20,9,74,0,1,0,1,0,46,0.14,0.05,0.01,0
16181,12,9,44,44,163,0,1,0,255,1,0,0,0
46633,12,9,44,126,80,0,1,0,254,1,0.01,0,0
15762,49,5,0,0,212,1,0.09,0.08,20,0.08,0.08,1,1
44833,24,9,220,1721,3,0,1,0,255,1,0,0,0
48185,24,9,284,1280,5,0,1,0,255,1,0,0,0
14999,44,1,0,0,510,0.2,0,1,1,0,1,0.12,1
42091,54,9,1138,331,1,0,1,0,152,0.77,0.05,0,0
24529,54,9,1396,335,1,0,1,0,242,0.96,0.01,0,0
47787,19,9,928,2720,1,0,1,0,49,0.21,0.02,0,0
25738,26,5,0,0,140,1,0.13,0.06,18,0.07,0.06,1,1
8209,24,9,299,1075,6,0,1,0,247,0.97,0.01,0,0
22841,24,9,166,24084,2,0,1,0,255,1,0,0,0
13580,67,5,0,0,208,1,0.05,0.06,19,0.07,0.07,1,1
18408,24,9,220,8258,5,0,1,0,255,1,0,0,0
37570,14,9,8,0,1,0,1,0,255,1,0,0,1
21356,20,9,334,0,1,0,1,0,4,1,0,0,1
2351,15,9,1032,0,511,0,1,0,62,0.4,0.04,0.01,1
31638,49,5,0,0,206,1,0.12,0.05,24,0.09,0.06,1,1
29583,24,9,276,1587,4,0,1,0,255,1,0,0,0
26029,54,9,1113,338,1,0,1,0,150,0.59,0.03,0,0
47591,60,4,0,0,1,0,1,0,1,0,0.11,0,1
13912,60,5,0,0,61,1,0.23,0.07,34,0.13,0.06,1,1
31397,8,5,0,0,249,1,0.02,0.07,5,0.02,0.08,1,1
14122,54,9,751,332,1,0,1,0,107,0.5,0.03,0,0
27562,24,1,0,0,1,0,1,0,255,1,0,0,0
29463,49,5,0,0,107,1,0.01,0.08,1,0,0.09,1,1
5466,54,9,2706,363,1,0,1,0,158,0.68,0.15,0,0
31699,14,9,8,0,1,0,1,0,61,1,0,0,1
2025,49,5,0,0,190,1,0.02,0.06,14,0.05,0.07,1,1
2350,14,9,8,0,1,0,1,0,255,1,0,0,1
5334,24,1,0,0,2,0,1,0,10,1,0,0,0
1074,24,9,229,682,7,0,1,0,255,1,0,0,0
24283,24,9,201,1058,7,0,1,0,255,1,0,0,0
25916,24,9,339,764,10,0,1,0,255,1,0,0,0
543,18,9,10,139,1,0,1,0,5,0.04,0.03,0,0
7070,49,5,0,0,94,1,0.04,0.06,18,0.07,0.07,1,1
34101,29,5,0,0,293,1,0.03,0.05,10,0.04,0.07,1,1
29101,24,9,320,2265,16,0,1,0,255,1,0,0,0
34221,24,9,321,5150,14,0,1,0,255,1,0,0,0
2517,12,9,44,44,191,0,1,0,206,0.81,0.01,0,0
35747,11,5,0,0,287,1,0.03,0.06,1,0,0.07,1,1
31185,67,5,0,0,266,1,0.07,0.06,3,0.01,0.07,1,1
19272,49,5,0,0,146,1,0.08,0.05,2,0.01,0.08,1,1
24480,15,9,1032,0,180,0,1,0,180,0.71,0.01,0,1
17544,14,9,8,0,1,0,1,0,101,1,0,0,1
38785,24,9,225,919,10,0,1,0,255,1,0,0,0
36897,49,1,0,0,509,0.02,0,1,1,0,1,0,1
23490,49,5,0,0,66,1,0.08,0.09,20,0.08,0.07,1,1
8383,9,5,0,0,247,1,0.02,0.06,15,0.06,0.06,1,1
18953,24,9,283,279,3,0,1,0,255,1,0,0,0
43793,49,5,0,0,158,1,0.11,0.06,4,0.02,0.09,1,1
44168,18,5,0,0,20,1,0.3,0.2,64,0.25,0.02,1,1
17905,24,9,315,1177,4,0,1,0,255,1,0,0,0
44575,24,9,319,261,1,0,1,0,255,1,0,0,0
12602,58,5,0,0,262,1,0.05,0.05,14,0.05,0.05,1,1
5135,20,9,0,4076,1,0,1,0,66,0.69,0.07,0,0
18911,54,9,2308,336,1,0,1,0,145,0.6,0.03,0,0
5555,24,9,324,1668,1,0,1,0,13,1,0,0,0
13838,10,4,0,0,1,0,1,0,1,0,0.05,0,1
44622,49,1,0,0,139,0,0.12,0.06,16,0.06,0.07,0,1
42186,42,5,0,0,269,1,0.02,0.05,6,0.02,0.05,1,1
1520,20,9,1214,0,12,0,1,0,138,0.64,0.01,0,0
34655,24,5,0,0,126,1,0.13,0.06,3,0.01,0.07,1,1
13785,24,9,252,1483,8,0,1,0,255,1,0,0,0
33322,49,1,0,0,511,0.08,0,1,1,0,1,0.14,1
48901,33,5,0,0,271,1,0.07,0.06,20,0.08,0.07,1,1
23087,24,9,329,782,11,0,1,0,255,1,0,0,0
33383,15,9,1480,0,1,0,1,0,2,0.01,0.08,0.61,1
21313,49,5,0,0,66,1,0.06,0.09,4,0.02,0.07,1,1
29696,20,5,0,0,72,1,0.25,0.06,60,0.25,0.03,0.99,1
7197,49,5,0,0,83,1,0.08,0.08,18,0.07,0.06,1,1
34225,24,9,233,4097,2,0,1,0,255,1,0,0,0
7528,20,9,567,0,1,0,1,0,55,0.03,0.12,0,0
24673,24,2,0,0,4,0,1,0,255,1,0,0,0
49431,24,9,266,608,27,0,1,0,255,1,0,0,0
9980,24,9,191,17975,1,0,1,0,207,1,0,0,0
44222,24,9,217,933,9,0,1,0,255,1,0,0,0
6798,54,5,0,0,2,1,0.5,1,1,0,0.08,1,1
49890,54,9,664,330,1,0,1,0,144,0.76,0.12,0,0
27705,24,9,319,1559,6,0,1,0,255,1,0,0,0
37520,49,4,1,0,2,0,1,0,2,0.01,0.73,0,1
13259,63,5,0,0,238,1,0.06,0.06,6,0.02,0.08,1,1
39922,17,5,0,0,89,1,0.07,0.08,6,0.02,0.06,1,1
37454,49,5,0,0,218,1,0.05,0.06,9,0.04,0.08,1,1
43322,24,9,208,3399,6,0,1,0,255,1,0,0,0
48556,60,9,105,2860,1,0,1,0,2,0.12,0.25,0,0
5506,14,9,30,0,2,0,0.5,1,2,0.01,0.01,0,0
13930,49,5,0,0,74,1,0.23,0.05,11,0.04,0.06,1,1
45156,24,9,222,1106,10,0,1,0,255,1,0,0,0
8484,49,1,0,0,146,0,0.11,0.06,15,0.06,0.07,0,1
7211,42,5,0,0,189,1,0.01,0.07,1,0,0.08,1,1
44645,12,9,45,45,132,0,1,0,255,1,0,0,0
38344,12,9,32,0,1,0,1,0,47,0.23,0.08,0,0
18806,24,9,305,1380,3,0,1,0,17,0.85,0.1,0,0
40679,24,9,240,9518,4,0,1,0,255,1,0,0,0
33071,20,5,0,0,14,1,0.29,0.29,51,0.2,0.04,1,1
37932,24,9,297,1340,5,0,1,0,255,1,0,0,0
27104,54,9,1105,331,1,0,1,0,178,0.78,0.04,0,0
38124,24,9,234,14602,9,0,1,0,255,1,0,0,0
46403,54,9,812,340,1,0,1,0,158,0.89,0.04,0,0
39687,20,9,334,0,1,0,1,0,45,1,0,0,1
26438,56,5,0,0,81,1,0.27,0.05,11,0.04,0.06,1,1
49849,33,5,0,0,218,1,0,0.07,1,0,0.08,1,1
26340,12,9,102,0,1,0,1,0,28,1,0,0,0
18299,14,9,8,0,1,0,1,0,141,1,0,0,1
27342,49,1,0,0,119,0,0.15,0.06,18,0.07,0.07,0,1
38748,44,9,147,105,1,0,1,0,1,0,0.71,0,0
7835,24,9,230,1141,2,0,1,0,255,1,0,0,0
43685,24,9,240,17905,12,0,1,0,255,1,0,0,0
45463,55,5,0,0,284,1,0.05,0.06,13,0.05,0.06,1,1
32762,12,9,45,119,110,0,1,0,227,0.89,0.01,0,0
22789,12,9,111,44,1,0,1,0,237,0.93,0.01,0,0
39487,44,9,516,4,346,0,1,0,255,1,0,0,0
49370,49,9,1,0,146,0,0.93,0.01,204,0.8,0.03,0,1
17820,9,5,0,0,238,1,0.1,0.05,23,0.09,0.05,1,1
15120,49,5,0,0,33,1,0.18,0.12,6,0.02,0.07,1,1
31626,24,9,304,1075,7,0,1,0,248,0.97,0.01,0,0
47137,54,9,1766,326,1,0,1,0,108,0.23,0.05,0,0
46470,21,1,0,0,283,0,0.06,0.06,18,0.07,0.07,0,1
22611,5,5,0,0,265,1,0.01,0.05,3,0.01,0.05,1,1
1212,24,9,307,321,8,0,1,0,255,1,0,0,0
39629,24,4,54540,7300,2,0,1,0,255,1,0,0,1
14083,24,9,310,392,1,0,1,0,255,1,0,0,0
45125,44,9,516,4,198,0,1,0,198,1,0,0,0
37630,35,5,0,0,214,1,0.08,0.06,18,0.07,0.06,1,1
40452,18,5,0,0,35,1,0.43,0.06,19,0.19,0.05,0.97,1
46980,49,4,0,0,1,0,1,0,1,0,0.29,0,1
15068,44,9,147,105,1,0,1,0,3,0.01,0.64,0,0
44630,4,5,0,0,250,1,0.02,0.05,4,0.02,0.05,1,1
