,class_flooding,class_impersonation,class_injection,class_normal
495043,0,0,0,1
760352,0,0,0,1
1663221,0,0,0,1
542215,0,0,0,1
1317866,0,0,0,1
176216,0,0,0,1
1627949,0,0,0,1
207606,0,0,0,1
1548192,0,0,0,1
926956,0,0,0,1
516842,0,0,0,1
215429,0,0,0,1
523226,0,0,0,1
1188804,0,0,0,1
1539809,0,0,0,1
1043480,0,0,0,1
1227185,0,0,0,1
1490009,0,0,0,1
152027,0,0,0,1
1594661,0,0,0,1
1364817,0,0,0,1
1219747,0,0,0,1
928955,0,0,0,1
116583,0,0,0,1
507020,0,0,0,1
1355776,0,0,0,1
371735,0,0,0,1
745207,0,0,0,1
1311171,0,0,0,1
907501,0,0,0,1
682395,0,0,0,1
808527,0,0,0,1
1123843,0,0,0,1
125677,0,0,0,1
805716,0,0,0,1
272188,0,0,0,1
633034,0,0,0,1
229094,0,0,0,1
1148835,0,0,0,1
903662,0,0,0,1
225416,0,0,0,1
1144893,0,0,0,1
848481,0,0,0,1
760051,0,0,0,1
499279,0,0,0,1
1168683,0,0,0,1
94744,0,0,0,1
1073349,0,0,0,1
601051,0,0,0,1
1413134,0,0,0,1
1011755,0,0,0,1
903060,0,0,0,1
1494941,0,0,0,1
1771839,0,0,0,1
962204,0,0,0,1
1328438,0,0,0,1
636930,0,0,0,1
255233,0,0,0,1
606239,0,0,0,1
327258,0,0,0,1
159341,0,0,0,1
1573162,0,0,0,1
1412567,0,0,0,1
980657,0,0,0,1
334276,0,0,0,1
812055,0,0,0,1
1359219,0,0,0,1
391528,0,0,0,1
1431744,0,0,0,1
879659,0,0,0,1
1165429,0,0,0,1
106406,0,0,0,1
885982,0,0,0,1
58228,0,0,0,1
282826,0,0,0,1
398389,0,0,0,1
379217,0,0,0,1
506304,0,0,0,1
214605,0,0,0,1
904559,0,0,0,1
973699,0,0,0,1
110640,0,0,0,1
1283981,0,0,0,1
1017739,0,0,0,1
184691,0,0,0,1
1583995,0,0,0,1
529342,0,0,0,1
604230,0,0,0,1
1218826,0,0,0,1
1720579,0,0,0,1
1204084,0,0,0,1
1649793,0,0,0,1
231871,0,0,0,1
1063147,0,0,0,1
1634823,0,0,0,1
444845,0,0,0,1
1000480,0,0,0,1
711371,0,0,0,1
1032642,0,0,0,1
867363,0,0,0,1
428075,0,0,0,1
1098658,0,0,0,1
1578888,0,0,0,1
450221,0,0,0,1
1148236,0,0,0,1
517765,0,0,0,1
375876,0,0,0,1
1002404,0,0,0,1
695407,0,0,0,1
298446,0,0,0,1
1400154,0,0,0,1
104627,0,0,0,1
31507,0,0,0,1
831491,0,0,0,1
1557077,0,0,0,1
1041681,0,0,0,1
1752030,0,0,0,1
787625,0,0,0,1
719540,0,0,0,1
1381384,0,0,0,1
1549836,0,0,0,1
1388542,0,0,0,1
720005,0,0,0,1
1735890,0,0,0,1
81137,0,0,0,1
1785765,0,0,0,1
250952,0,0,0,1
323025,0,0,0,1
1237499,0,0,0,1
1160091,0,0,0,1
1525642,0,0,0,1
1656136,0,0,0,1
1685991,0,0,0,1
1741082,0,0,0,1
708574,0,0,0,1
246806,0,0,0,1
1418268,0,0,0,1
82233,0,0,0,1
1639389,0,0,0,1
1252452,0,0,0,1
624172,0,0,0,1
1438497,0,0,0,1
387442,0,0,0,1
1031072,0,0,0,1
1203554,0,0,0,1
87121,0,0,0,1
1119364,0,0,0,1
1335307,0,0,0,1
1727348,0,0,0,1
1688866,0,0,0,1
1567415,0,0,0,1
242019,0,0,0,1
1198523,0,0,0,1
1211406,0,0,0,1
750796,0,0,0,1
882566,0,0,0,1
1010496,0,0,0,1
1214604,0,0,0,1
1125721,0,0,0,1
1732750,0,0,0,1
910450,0,0,0,1
748767,0,0,0,1
1097695,0,0,0,1
1278144,0,0,0,1
559717,0,0,0,1
1528952,0,0,0,1
771138,0,0,0,1
911786,0,0,0,1
632615,0,0,0,1
112157,0,0,0,1
1361816,0,0,0,1
122917,0,0,0,1
727605,0,0,0,1
1196104,0,0,0,1
341673,0,0,0,1
88814,0,0,0,1
904056,0,0,0,1
1156966,0,0,0,1
1121134,0,0,0,1
821746,0,0,0,1
1299324,0,0,0,1
1032400,0,0,0,1
763364,0,0,0,1
1104344,0,0,0,1
272606,0,0,0,1
284987,0,0,0,1
359197,0,0,0,1
210941,0,0,0,1
1379482,0,0,0,1
903570,0,0,0,1
801029,0,0,0,1
1195765,0,0,0,1
58434,0,0,0,1
582293,0,0,0,1
483820,0,0,0,1
1469338,0,0,0,1
1699823,0,0,0,1
873997,0,0,0,1
1715567,0,0,0,1
22647,0,0,0,1
111073,0,0,0,1
1729616,0,0,0,1
1319010,0,0,0,1
685765,0,0,0,1
298586,0,0,0,1
1360049,0,0,0,1
759028,0,0,0,1
626714,0,0,0,1
102242,0,0,0,1
1686339,0,0,0,1
1616619,0,0,0,1
258464,0,0,0,1
1094068,0,0,0,1
1384402,0,0,0,1
703936,0,0,0,1
1500344,0,0,0,1
1170638,0,0,0,1
1085767,0,0,0,1
1378757,0,0,0,1
30179,0,0,0,1
377877,0,0,0,1
216171,0,0,0,1
1715136,0,0,0,1
1189853,0,0,0,1
1487978,0,0,0,1
1115378,0,0,0,1
1742063,0,0,0,1
261760,0,0,0,1
1503946,0,0,0,1
780627,0,0,0,1
1327789,0,0,0,1
890465,0,0,0,1
811135,0,0,0,1
41533,0,0,0,1
1109275,0,0,0,1
1137032,0,0,0,1
854158,0,0,0,1
119544,0,0,0,1
1069418,0,0,0,1
1226044,0,0,0,1
1679781,0,0,0,1
1379233,0,0,0,1
722979,0,0,0,1
416246,0,0,0,1
593242,0,0,0,1
1526687,0,0,0,1
1049569,0,0,0,1
1328824,0,0,0,1
1745488,0,0,0,1
810345,0,0,0,1
1189831,0,0,0,1
201777,0,0,0,1
781138,0,0,0,1
166183,0,0,0,1
560155,0,0,0,1
1618169,0,0,0,1
933021,0,0,0,1
1742798,0,0,0,1
1447148,0,0,0,1
1579813,0,0,0,1
1433814,0,0,0,1
1403761,0,0,0,1
991572,0,0,0,1
598675,0,0,0,1
1552623,0,0,0,1
1079108,0,0,0,1
273581,0,0,0,1
1705047,0,0,0,1
947818,0,0,0,1
1297250,0,0,0,1
880105,0,0,0,1
236732,0,0,0,1
1537547,0,0,0,1
1576625,0,0,0,1
809254,0,0,0,1
954670,0,0,0,1
1404660,0,0,0,1
805053,0,0,0,1
1484410,0,0,0,1
1527634,0,0,0,1
726760,0,0,0,1
1542289,0,0,0,1
660307,0,0,0,1
566055,0,0,0,1
105987,0,0,0,1
1695952,0,0,0,1
1527795,0,0,0,1
1069109,0,0,0,1
1470299,0,0,0,1
183707,0,0,0,1
536585,0,0,0,1
1696298,0,0,0,1
1007868,0,0,0,1
878248,0,0,0,1
1566052,0,0,0,1
1586841,0,0,0,1
1131353,0,0,0,1
988202,0,0,0,1
914187,0,0,0,1
1033065,0,0,0,1
127591,0,0,0,1
513033,0,0,0,1
1761629,0,0,0,1
326248,0,0,0,1
1693568,0,0,0,1
827511,0,0,0,1
1106904,0,0,0,1
1441891,0,0,0,1
291527,0,0,0,1
143823,0,0,0,1
38586,0,0,0,1
1762602,0,0,0,1
917724,0,0,0,1
970580,0,0,0,1
439513,0,0,0,1
890684,0,0,0,1
155315,0,0,0,1
527636,0,0,0,1
103812,0,0,0,1
356506,0,0,0,1
941829,0,0,0,1
1073711,0,0,0,1
18467,0,0,0,1
623266,0,0,0,1
558370,0,0,0,1
235923,0,0,0,1
379926,0,0,0,1
1719362,0,0,0,1
442475,0,0,0,1
1450440,0,0,0,1
1731266,0,0,0,1
1255146,0,0,0,1
784772,0,0,0,1
1343814,0,0,0,1
894322,0,0,0,1
928759,0,0,0,1
1665180,0,0,0,1
415512,0,0,0,1
721351,0,0,0,1
1469735,0,0,0,1
1700798,0,0,0,1
793409,0,0,0,1
1783056,0,0,0,1
1365376,0,0,0,1
1767696,0,0,0,1
1136221,0,0,0,1
763957,0,0,0,1
904417,0,0,0,1
187955,0,0,0,1
1529177,0,0,0,1
363934,0,0,0,1
22203,0,0,0,1
1008585,0,0,0,1
1430359,0,0,0,1
999267,0,0,0,1
1069883,0,0,0,1
1774356,0,0,0,1
373320,0,0,0,1
38420,0,0,0,1
578445,0,0,0,1
750687,0,0,0,1
821739,0,0,0,1
1063048,0,0,0,1
820825,0,0,0,1
524815,0,0,0,1
944548,0,0,0,1
1758074,0,0,0,1
1456408,0,0,0,1
1329647,0,0,0,1
1199249,0,0,0,1
177683,0,0,0,1
372541,0,0,0,1
761664,0,0,0,1
131193,0,0,0,1
1310427,0,0,0,1
490171,0,0,0,1
101149,0,0,0,1
289956,0,0,0,1
955008,0,0,0,1
290748,0,0,0,1
1640522,0,0,0,1
1787705,0,0,0,1
850605,0,0,0,1
852338,0,0,0,1
770368,0,0,0,1
643545,0,0,0,1
143354,0,0,0,1
446724,0,0,0,1
824761,0,0,0,1
1040045,0,0,0,1
427295,0,0,0,1
1598722,0,0,0,1
1113869,0,0,0,1
862988,0,0,0,1
1441272,0,0,0,1
762412,0,0,0,1
309794,0,0,0,1
1596731,0,0,0,1
1650745,0,0,0,1
1423747,0,0,0,1
74793,0,0,0,1
1488865,0,0,0,1
1703125,0,0,0,1
1727131,0,0,0,1
277283,0,0,0,1
999087,0,0,0,1
1639129,0,0,0,1
1091376,0,0,0,1
882644,0,0,0,1
1449830,0,0,0,1
1443665,0,0,0,1
1061411,0,0,0,1
1712677,0,0,0,1
1655110,0,0,0,1
411636,0,0,0,1
722957,0,0,0,1
980749,0,0,0,1
1742134,0,0,0,1
1387280,0,0,0,1
479944,0,0,0,1
1632403,0,0,0,1
988541,0,0,0,1
1387061,0,0,0,1
1191603,0,0,0,1
1476893,0,0,0,1
826275,0,0,0,1
1514826,0,0,0,1
1326869,0,0,0,1
84306,0,0,0,1
7928,0,0,0,1
339303,0,0,0,1
1060025,0,0,0,1
47698,0,0,0,1
445688,0,0,0,1
481100,0,0,0,1
59240,0,0,0,1
1549228,0,0,0,1
742498,0,0,0,1
1104051,0,0,0,1
166065,0,0,0,1
365336,0,0,0,1
1008824,0,0,0,1
1039990,0,0,0,1
621905,0,0,0,1
96270,0,0,0,1
1532034,0,0,0,1
1073691,0,0,0,1
715025,0,0,0,1
632035,0,0,0,1
449351,0,0,0,1
15792,0,0,0,1
1542241,0,0,0,1
1651103,0,0,0,1
1700069,0,0,0,1
1019231,0,0,0,1
927962,0,0,0,1
605601,0,0,0,1
153139,0,0,0,1
541440,0,0,0,1
902326,0,0,0,1
1730114,0,0,0,1
18375,0,0,0,1
526932,0,0,0,1
1043717,0,0,0,1
1076554,0,0,0,1
1218852,0,0,0,1
1689966,0,0,0,1
212373,0,0,0,1
350871,0,0,0,1
1792710,0,0,0,1
1711260,0,0,0,1
416338,0,0,0,1
182822,0,0,0,1
549254,0,0,0,1
305870,0,0,0,1
56238,0,0,0,1
1142327,0,0,0,1
837513,0,0,0,1
529037,0,0,0,1
1648057,0,0,0,1
7460,0,0,0,1
1579006,0,0,0,1
247734,0,0,0,1
222613,0,0,0,1
1054548,0,0,0,1
345128,0,0,0,1
1026655,0,0,0,1
1214893,0,0,0,1
175265,0,0,0,1
184699,0,0,0,1
1676584,0,0,0,1
1402578,0,0,0,1
812638,0,0,0,1
1189692,0,0,0,1
194383,0,0,0,1
205325,0,0,0,1
1415583,0,0,0,1
461590,0,0,0,1
435765,0,0,0,1
890585,0,0,0,1
421568,0,0,0,1
1734533,0,0,0,1
364945,0,0,0,1
748679,0,0,0,1
663777,0,0,0,1
1535280,0,0,0,1
1409636,0,0,0,1
992398,0,0,0,1
256363,0,0,0,1
59742,0,0,0,1
647171,0,0,0,1
165874,0,0,0,1
1312555,0,0,0,1
1747625,0,0,0,1
725025,0,0,0,1
126221,0,0,0,1
600221,0,0,0,1
691129,0,0,0,1
119174,0,0,0,1
1169653,0,0,0,1
145627,0,0,0,1
20294,0,0,0,1
703567,0,0,0,1
118302,0,0,0,1
531364,0,0,0,1
1594522,0,0,0,1
40426,0,0,0,1
1404180,0,0,0,1
1590779,0,0,0,1
593108,0,0,0,1
719790,0,0,0,1
71063,0,0,0,1
1149170,0,0,0,1
1074419,0,0,0,1
292515,0,0,0,1
1657934,0,0,0,1
157305,0,0,0,1
677512,0,0,0,1
375593,0,0,0,1
457050,0,0,0,1
839042,0,0,0,1
1609806,0,0,0,1
1738708,0,0,0,1
559523,0,0,0,1
648798,0,0,0,1
1726402,0,0,0,1
1661863,0,0,0,1
1170930,0,0,0,1
1565581,0,0,0,1
1708137,0,0,0,1
17348,0,0,0,1
710738,0,0,0,1
947399,0,0,0,1
992862,0,0,0,1
894949,0,0,0,1
1661184,0,0,0,1
1402019,0,0,0,1
660891,0,0,0,1
593112,0,0,0,1
835315,0,0,0,1
1119046,0,0,0,1
915666,0,0,0,1
345723,0,0,0,1
657898,0,0,0,1
1121161,0,0,0,1
989744,0,0,0,1
275731,0,0,0,1
1181937,0,0,0,1
1358587,0,0,0,1
624818,0,0,0,1
1332457,0,0,0,1
1466275,0,0,0,1
1177648,0,0,0,1
1311085,0,0,0,1
675858,0,0,0,1
1681622,0,0,0,1
530365,0,0,0,1
386504,0,0,0,1
689682,0,0,0,1
312125,0,0,0,1
1745228,0,0,0,1
1016411,0,0,0,1
308529,0,0,0,1
891416,0,0,0,1
235077,0,0,0,1
436243,0,0,0,1
529621,0,0,0,1
262915,0,0,0,1
297161,0,0,0,1
1020576,0,0,0,1
436151,0,0,0,1
989446,0,0,0,1
641156,0,0,0,1
87986,0,0,0,1
129776,0,0,0,1
228709,0,0,0,1
252403,0,0,0,1
453869,0,0,0,1
509789,0,0,0,1
407026,0,0,0,1
1539224,0,0,0,1
1720039,0,0,0,1
1173884,0,0,0,1
322272,0,0,0,1
374480,0,0,0,1
1537737,0,0,0,1
990059,0,0,0,1
613576,0,0,0,1
849145,0,0,0,1
846404,0,0,0,1
1591155,0,0,0,1
158534,0,0,0,1
600376,0,0,0,1
644213,0,0,0,1
1195262,0,0,0,1
816678,0,0,0,1
160134,0,0,0,1
1217623,0,0,0,1
1576007,0,0,0,1
1549652,0,0,0,1
1349645,0,0,0,1
1378842,0,0,0,1
1065707,0,0,0,1
1027602,0,0,0,1
1123613,0,0,0,1
1652175,0,0,0,1
101711,0,0,0,1
1680024,0,0,0,1
160598,0,0,0,1
1669218,0,0,0,1
105826,0,0,0,1
79883,0,0,0,1
190707,0,0,0,1
568930,0,0,0,1
436160,0,0,0,1
296406,0,0,0,1
1534505,0,0,0,1
530380,0,0,0,1
553589,0,0,0,1
279842,0,0,0,1
33998,0,0,0,1
1053324,0,0,0,1
1733514,0,0,0,1
1003012,0,0,0,1
1043619,0,0,0,1
413468,0,0,0,1
904954,0,0,0,1
644564,0,0,0,1
530180,0,0,0,1
318546,0,0,0,1
654473,0,0,0,1
1081272,0,0,0,1
1089604,0,0,0,1
463695,0,0,0,1
1731993,0,0,0,1
1485007,0,0,0,1
715587,0,0,0,1
455149,0,0,0,1
1732786,0,0,0,1
3210,0,0,0,1
44316,0,0,0,1
633536,0,0,0,1
1011597,0,0,0,1
610301,0,0,0,1
679265,0,0,0,1
530444,0,0,0,1
681413,0,0,0,1
77826,0,0,0,1
1539633,0,0,0,1
897589,0,0,0,1
966353,0,0,0,1
1034663,0,0,0,1
890916,0,0,0,1
817393,0,0,0,1
653300,0,0,0,1
1345263,0,0,0,1
422712,0,0,0,1
448302,0,0,0,1
952984,0,0,0,1
1417315,0,0,0,1
1663313,0,0,0,1
994324,0,0,0,1
316608,0,0,0,1
1010495,0,0,0,1
379444,0,0,0,1
1663942,0,0,0,1
129527,0,0,0,1
783144,0,0,0,1
96543,0,0,0,1
167203,0,0,0,1
1518770,0,0,0,1
115533,0,0,0,1
852392,0,0,0,1
1000166,0,0,0,1
1220915,0,0,0,1
517126,0,0,0,1
1385355,0,0,0,1
943813,0,0,0,1
289854,0,0,0,1
1193103,0,0,0,1
108797,0,0,0,1
536609,0,0,0,1
1105872,0,0,0,1
1035235,0,0,0,1
493978,0,0,0,1
881972,0,0,0,1
693947,0,0,0,1
1158089,0,0,0,1
1147064,0,0,0,1
1293448,0,0,0,1
44329,0,0,0,1
52719,0,0,0,1
137998,0,0,0,1
440578,0,0,0,1
436329,0,0,0,1
417911,0,0,0,1
436088,0,0,0,1
834897,0,0,0,1
314078,0,0,0,1
113271,0,0,0,1
446708,0,0,0,1
996252,0,0,0,1
1182136,0,0,0,1
46131,0,0,0,1
311972,0,0,0,1
510030,0,0,0,1
474333,0,0,0,1
1694535,0,0,0,1
806151,0,0,0,1
1131242,0,0,0,1
194692,0,0,0,1
1196486,0,0,0,1
728176,0,0,0,1
543393,0,0,0,1
956896,0,0,0,1
322908,0,0,0,1
1096127,0,0,0,1
781397,0,0,0,1
328302,0,0,0,1
868279,0,0,0,1
63324,0,0,0,1
302507,0,0,0,1
1376902,0,0,0,1
838852,0,0,0,1
408723,0,0,0,1
375121,0,0,0,1
192343,0,0,0,1
1608792,0,0,0,1
790303,0,0,0,1
78218,0,0,0,1
295131,0,0,0,1
705736,0,0,0,1
587671,0,0,0,1
1105080,0,0,0,1
260565,0,0,0,1
20602,0,0,0,1
291555,0,0,0,1
1767772,0,0,0,1
1036092,0,0,0,1
271579,0,0,0,1
417066,0,0,0,1
829864,0,0,0,1
180280,0,0,0,1
847846,0,0,0,1
1043960,0,0,0,1
798668,0,0,0,1
1649658,0,0,0,1
71542,0,0,0,1
209996,0,0,0,1
1326611,0,0,0,1
122936,0,0,0,1
1669764,0,0,0,1
436262,0,0,0,1
826839,0,0,0,1
995222,0,0,0,1
198361,0,0,0,1
547062,0,0,0,1
665212,0,0,0,1
982502,0,0,0,1
352309,0,0,0,1
873866,0,0,0,1
292506,0,0,0,1
482213,0,0,0,1
1659574,0,0,0,1
1698625,0,0,0,1
1765116,0,0,0,1
797333,0,0,0,1
129519,0,0,0,1
344671,0,0,0,1
121440,0,0,0,1
992610,0,0,0,1
52377,0,0,0,1
1608259,0,0,0,1
164704,0,0,0,1
819163,0,0,0,1
709464,0,0,0,1
1183390,0,0,0,1
710170,0,0,0,1
892713,0,0,0,1
232395,0,0,0,1
336704,0,0,0,1
208869,0,0,0,1
1107569,0,0,0,1
760874,0,0,0,1
819651,0,0,0,1
602132,0,0,0,1
1267722,0,0,0,1
53702,0,0,0,1
1735257,0,0,0,1
703739,0,0,0,1
544207,0,0,0,1
1304875,0,0,0,1
1437892,0,0,0,1
483907,0,0,0,1
1316512,0,0,0,1
573066,0,0,0,1
73832,0,0,0,1
1782182,0,0,0,1
1028669,0,0,0,1
820575,0,0,0,1
1232374,0,0,0,1
290734,0,0,0,1
1360610,0,0,0,1
1597640,0,0,0,1
380242,0,0,0,1
965252,0,0,0,1
1702237,0,0,0,1
1208371,0,0,0,1
668109,0,0,0,1
1323050,0,0,0,1
234949,0,0,0,1
368063,0,0,0,1
281262,0,0,0,1
418634,0,0,0,1
439373,0,0,0,1
150149,0,0,0,1
1140980,0,0,0,1
786667,0,0,0,1
133003,0,0,0,1
1578847,0,0,0,1
138183,0,0,0,1
501342,0,0,0,1
517113,0,0,0,1
1336925,0,0,0,1
67456,0,0,0,1
865153,0,0,0,1
1144798,0,0,0,1
1024281,0,0,0,1
1714467,0,0,0,1
203497,0,0,0,1
1478379,0,0,0,1
758704,0,0,0,1
91360,0,0,0,1
716929,0,0,0,1
820929,0,0,0,1
1730577,0,0,0,1
1346079,0,0,0,1
103178,0,0,0,1
461470,0,0,0,1
1333142,0,0,0,1
449554,0,0,0,1
898255,0,0,0,1
1657830,0,0,0,1
54497,0,0,0,1
74466,0,0,0,1
1101963,0,0,0,1
1643013,0,0,0,1
1609799,0,0,0,1
990463,0,0,0,1
1150229,0,0,0,1
118631,0,0,0,1
675233,0,0,0,1
1757340,0,0,0,1
591259,0,0,0,1
1460284,0,0,0,1
964969,0,0,0,1
121209,0,0,0,1
994299,0,0,0,1
411526,0,0,0,1
130768,0,0,0,1
1776975,0,0,0,1
1221904,0,0,0,1
1125105,0,0,0,1
1364962,0,0,0,1
211573,0,0,0,1
1049715,0,0,0,1
843121,0,0,0,1
1063512,0,0,0,1
890060,0,0,0,1
1629843,0,0,0,1
1142930,0,0,0,1
1425399,0,0,0,1
1346121,0,0,0,1
982130,0,0,0,1
1291711,0,0,0,1
1348540,0,0,0,1
1686177,0,0,0,1
137616,0,0,0,1
1564048,0,0,0,1
811335,0,0,0,1
1033924,0,0,0,1
926207,0,0,0,1
1402699,0,0,0,1
3175,0,0,0,1
1705681,0,0,0,1
1698638,0,0,0,1
313413,0,0,0,1
1186824,0,0,0,1
1697911,0,0,0,1
915875,0,0,0,1
1680050,0,0,0,1
1361894,0,0,0,1
1355783,0,0,0,1
187938,0,0,0,1
303130,0,0,0,1
86233,0,0,0,1
452008,0,0,0,1
761809,0,0,0,1
16415,0,0,0,1
376652,0,0,0,1
1266799,0,0,0,1
1625932,0,0,0,1
980330,0,0,0,1
823240,0,0,0,1
1665772,0,0,0,1
79309,0,0,0,1
2760,0,0,0,1
1530073,0,0,0,1
717098,0,0,0,1
165387,0,0,0,1
391597,0,0,0,1
297009,0,0,0,1
1397935,0,0,0,1
491677,0,0,0,1
311522,0,0,0,1
54856,0,0,0,1
629360,0,0,0,1
233351,0,0,0,1
1163921,0,0,0,1
781096,0,0,0,1
648408,0,0,0,1
883511,0,0,0,1
1117582,0,0,0,1
398636,0,0,0,1
241868,0,0,0,1
1403783,0,0,0,1
436095,0,0,0,1
358575,0,0,0,1
719759,0,0,0,1
447877,0,0,0,1
1618660,0,0,0,1
863074,0,0,0,1
1463117,0,0,0,1
339749,0,0,0,1
202358,0,0,0,1
1040535,0,0,0,1
361277,0,0,0,1
1382124,0,0,0,1
151540,0,0,0,1
1366437,0,0,0,1
83864,0,0,0,1
591588,0,0,0,1
1196284,0,0,0,1
571695,0,0,0,1
383733,0,0,0,1
479946,0,0,0,1
119713,0,0,0,1
1050939,0,0,0,1
943486,0,0,0,1
966727,0,0,0,1
536845,0,0,0,1
1089504,0,0,0,1
1617163,0,0,0,1
694490,0,0,0,1
1737939,0,0,0,1
172859,0,0,0,1
997537,0,0,0,1
111191,0,0,0,1
521471,0,0,0,1
927033,0,0,0,1
1414886,0,0,0,1
159215,0,0,0,1
827088,0,0,0,1
1635806,0,0,0,1
1201461,0,0,0,1
1638516,0,0,0,1
862438,0,0,0,1
27780,0,0,0,1
124867,0,0,0,1
1171778,0,0,0,1
1272417,0,0,0,1
368622,0,0,0,1
526919,0,0,0,1
1680462,0,0,0,1
1748890,0,0,0,1
1183183,0,0,0,1
1224395,0,0,0,1
892466,0,0,0,1
1467986,0,0,0,1
1415183,0,0,0,1
1524621,0,0,0,1
1533860,0,0,0,1
720401,0,0,0,1
307571,0,0,0,1
1584427,0,0,0,1
870440,0,0,0,1
1658355,0,0,0,1
1366593,0,0,0,1
1070262,0,0,0,1
1296406,0,0,0,1
1702682,0,0,0,1
1669477,0,0,0,1
316557,0,0,0,1
527258,0,0,0,1
1024658,0,0,0,1
234463,0,0,0,1
892917,0,0,0,1
1630090,0,0,0,1
74741,0,0,0,1
1303076,0,0,0,1
109088,0,0,0,1
47546,0,0,0,1
851881,0,0,0,1
685291,0,0,0,1
230707,0,0,0,1
832381,0,0,0,1
1019548,0,0,0,1
1522168,0,0,0,1
1112131,0,0,0,1
630849,0,0,0,1
1738719,0,0,0,1
1081082,0,0,0,1
964260,0,0,0,1
1497155,0,0,0,1
1152612,0,0,0,1
1458015,0,0,0,1
326136,0,0,0,1
1405221,0,0,0,1
1605728,0,0,0,1
783855,0,0,0,1
1166815,0,0,0,1
472432,0,0,0,1
1678359,0,0,0,1
143697,0,0,0,1
762681,0,0,0,1
